,phi,phi_u,u,v
369,60.12376043635869,36.124522782908016,37.0,60.0
370,59.950494802496806,36.17662274506129,37.0,60.0
371,59.76334856154821,36.23322784293394,37.0,60.0
372,59.563024200672956,36.29420245779525,37.0,60.0
373,59.35029495164483,36.359389958538415,37.0,60.0
374,59.12600996314292,36.42860948725835,37.0,60.0
375,58.89109941634568,36.5016525793654,37.0,60.0
376,58.64657942160006,36.578279670825204,37.0,60.0
377,58.393556503040166,36.65821656386271,37.0,60.0
378,58.133231444943945,36.741150944296216,37.0,60.0
379,57.866902239590694,36.826729068247246,37.0,60.0
380,57.59596584321876,36.91455276261481,37.0,60.0
381,57.32191841681754,37.004176911246574,37.0,60.0
382,57.046353705043906,37.09510762546414,37.0,60.0
383,56.77095919333061,37.186801321140905,37.0,60.0
384,56.49750968464261,37.27866494187195,37.0,60.0
385,56.22785795810299,37.37005757529573,37.0,60.0
386,55.963922216647745,37.46029370328869,37.0,60.0
387,55.70767010428162,37.5486483024168,37.0,60.0
388,55.46109917853583,37.63436396494863,37.0,60.0
389,55.226213861546476,37.71666014020574,37.0,60.0
390,55.004999062138786,37.794744500149136,37.0,60.0
391,54.799390856183905,37.86782631356446,37.0,60.0
392,54.61124482392776,37.93513157496213,37.0,60.0
393,54.442302857372844,37.99591948592427,37.0,60.0
394,54.29415945077774,38.04949974018137,37.0,60.0
395,54.168228653067075,38.09524993399421,37.0,60.0
396,54.0657129720078,38.132632326517374,37.0,60.0
397,53.98757555801315,38.16120912596908,37.0,60.0
398,53.934516946834904,38.18065548859945,37.0,60.0
399,53.90695749914167,38.19076949496012,37.0,60.0
400,53.905026444402324,38.19147851071122,37.0,60.0
401,53.92855813005031,38.18284153783681,37.0,60.0
402,53.97709571732222,38.165047399763694,37.0,60.0
403,54.04990218207818,38.13840885798055,37.0,60.0
404,54.14597810526493,38.10335300330753,37.0,60.0
405,54.26408540549318,38.06040847803567,37.0,60.0
406,54.402775902449456,38.01019024630724,37.0,60.0
407,54.56042342324075,37.95338272697353,37.0,60.0
408,54.73525808282066,37.89072213168542,37.0,60.0
409,54.925401382543726,37.82297881519471,37.0,60.0
410,55.12890086673158,37.750940355464294,37.0,60.0
411,55.34376323833919,37.67539595324631,37.0,60.0
412,55.56798504013094,37.59712259108035,37.0,60.0
413,55.79958023527184,37.51687323633737,37.0,60.0
414,56.03660425080695,37.43536722566175,37.0,60.0
415,56.27717426265722,37.35328283905729,37.0,60.0
416,56.51948568958246,37.27125196711802,37.0,60.0
417,56.76182501886455,37.18985669705853,37.0,60.0
418,57.002579205366835,37.10962759177485,37.0,60.0
419,57.240241968757374,37.03104340852813,37.0,60.0
420,57.473417364208316,36.95453199604762,37.0,60.0
421,57.70082102454054,36.88047211640803,37.0,60.0
422,57.92127947204011,36.80919595649723,37.0,60.0
423,58.13372788156815,36.740992119233695,37.0,60.0
424,58.33720664825772,36.67610891355356,37.0,60.0
425,58.530857077502425,36.614757791935816,37.0,60.0
426,58.713916475743744,36.55711681296291,37.0,60.0
427,58.88571288058417,36.50333403285329,37.0,60.0
428,59.04565963004654,36.45353075331441,37.0,60.0
429,59.1932499347533,36.40780457312253,37.0,60.0
430,59.32805158424791,36.36623220751085,37.0,60.0
431,59.44970189002912,36.32887205291557,37.0,60.0
432,59.55790294320004,36.29576648518964,37.0,60.0
433,59.65241724380744,36.266943887408054,37.0,60.0
434,59.73306374167097,36.24242040924186,37.0,60.0
435,59.799714314400866,36.22220146394572,37.0,60.0
436,59.852290696955144,36.20628297163628,37.0,60.0
437,59.89076186806215,36.19465235905111,37.0,60.0
438,59.91514189171129,36.18728932664722,37.0,60.0
439,59.925488206294766,36.18416639396259,37.0,60.0
440,59.92190034949885,36.185249233829374,37.0,60.0
441,59.904519103359284,36.19049680546643,37.0,60.0
442,59.87352604070787,36.19986129584339,37.0,60.0
443,59.829143451275534,36.21328787812733,37.0,60.0
444,59.77163462273644,36.230714295613794,37.0,60.0
445,59.70130444876242,36.25207027941072,37.0,60.0
446,59.6185003325147,36.277276808386105,37.0,60.0
447,59.523613349765974,36.306245220600736,37.0,60.0
448,59.417079630879705,36.338876186715645,37.0,60.0
449,59.29938191506801,36.37505855777493,37.0,60.0
450,59.17105122363196,36.41466810239543,37.0,60.0
451,59.03266859123178,36.45756615181141,37.0,60.0
452,58.88486678566841,36.503598175473826,37.0,60.0
453,58.72833193728045,36.5525923150096,37.0,60.0
454,58.56380498905495,36.6043579102898,37.0,60.0
455,58.39208286820164,36.65868405806572,37.0,60.0
456,58.21401926965241,36.7153382509692,37.0,60.0
457,58.03052493225802,36.77406515241321,37.0,60.0
458,57.84256728004578,36.834585570741794,37.0,60.0
459,57.65116929460687,36.896595703420175,37.0,60.0
460,57.45740748147324,36.959766728552516,37.0,60.0
461,57.262408794313934,37.02374482586834,37.0,60.0
462,57.0673463870969,37.08815171171348,37.0,60.0
463,56.87343407720122,37.1525857716214,37.0,60.0
464,56.681919422920295,37.21662386879508,37.0,60.0
465,56.49407534775839,37.279823896413305,37.0,60.0
466,56.31119028193697,37.341728125347984,37.0,60.0
467,56.13455683863917,37.4018673761666,37.0,60.0
468,55.96545909811883,37.45976601512122,37.0,60.0
469,55.80515863548277,37.51494773864968,37.0,60.0
470,55.65487949543436,37.56694207082977,37.0,60.0
471,55.51579238635412,37.61529145503339,37.0,60.0
472,55.38899843277381,37.659558777217775,37.0,60.0
473,55.275512884925234,37.699335116955375,37.0,60.0
474,55.17624923164784,37.73424748692824,37.0,60.0
475,55.092004193657345,37.76396629577201,37.0,60.0
476,55.02344408375812,37.788212256136205,37.0,60.0
477,54.9710930059021,37.80676246220852,37.0,60.0
478,54.935323324547184,37.81945538020366,37.0,60.0
479,54.91634877000544,37.82619453149529,37.0,60.0
480,54.91422045698926,37.82695069964773,37.0,60.0
481,54.92882598701481,37.8217625565074,37.0,60.0
482,54.95989168709355,37.81073567436076,37.0,60.0
483,55.00698791479862,37.79403996569366,37.0,60.0
484,55.069537241355796,37.77190566371863,37.0,60.0
485,55.14682521757091,37.74461802028648,37.0,60.0
486,55.238013338779105,37.71251094865336,37.0,60.0
487,55.34215375951111,37.675959873724864,37.0,60.0
488,55.458205269064166,37.635374070315265,37.0,60.0
489,55.58505002627868,37.591188770718446,37.0,60.0
490,55.72151056410904,37.54385730803076,37.0,60.0
491,55.866366608848026,37.49384353387438,37.0,60.0
492,56.01837131067282,37.44161471186258,37.0,60.0
493,56.17626654637998,37.38763504503608,37.0,60.0
494,56.338797026466054,37.332359950194665,37.0,60.0
495,56.50472301210518,37.2762311477354,37.0,60.0
496,56.67283151876487,37.21967259484153,37.0,60.0
497,56.841945948772796,37.163087254456215,37.0,60.0
498,57.01093415267859,37.10685466349377,37.0,60.0
499,57.17871496729714,37.05132924158633,37.0,60.0
500,57.34426331629836,36.9968392661831,37.0,60.0
501,57.50661398726772,36.9436864304494,37.0,60.0
502,57.6648642179909,36.89214589632658,37.0,60.0
503,57.818175235369004,36.84246675534763,37.0,60.0
504,57.96577289410904,36.794872813363405,37.0,60.0
505,58.106947560490426,36.74956362127807,37.0,60.0
506,58.241053380383114,36.70671568137669,37.0,60.0
507,58.367507061485234,36.66648376714211,37.0,60.0
508,58.48578628850779,36.62900230303262,37.0,60.0
509,58.59542787764116,36.59438675909383,37.0,60.0
510,58.69602576379993,36.56273502320093,37.0,60.0
511,58.787228901399985,36.53412872097273,37.0,60.0
512,58.86873914716643,36.50863445985621,37.0,60.0
513,58.94030918196672,36.48630497950874,37.0,60.0
514,59.00174051806505,36.46718019541755,37.0,60.0
515,59.052881628573566,36.451288126738675,37.0,60.0
516,59.093626227236655,36.43864570268454,37.0,60.0
517,59.12391171898278,36.429259444527034,37.0,60.0
518,59.14371783483577,36.423126022504846,37.0,60.0
519,59.15306545869326,36.42023268872619,37.0,60.0
520,59.152015648042095,36.42055758863364,37.0,60.0
521,59.14066884577011,36.424069954835815,37.0,60.0
522,59.11916427573557,36.430730188193365,37.0,60.0
523,59.08767951055758,36.44048983205061,37.0,60.0
524,59.046430196092636,36.45329144649733,37.0,60.0
525,58.99566991317552,36.469068390588255,37.0,60.0
526,58.93569015335363,36.487744521593925,37.0,60.0
527,58.866820381479286,36.509233821648586,37.0,60.0
528,58.789428154110176,36.53343996363309,37.0,60.0
529,58.703919258697056,36.56025582980554,37.0,60.0
530,58.610737834527164,36.58956299857867,37.0,60.0
531,58.51036643239375,36.62123121693479,37.0,60.0
532,58.40332596605923,36.65511787824106,37.0,60.0
533,58.29017550489472,36.69106752763373,37.0,60.0
534,58.17151185377282,36.72891141960956,37.0,60.0
535,58.04796886356515,36.76846715489589,37.0,60.0
